title,date,document,link,press,category
"이차전지 10년 투자로 7200% 벌었다…신한證, 빅데이터 공개",2024.01.17. 오전 10:51,"서울 여의도에 위치한 신한투자증권 본사 사옥 전경/신한투자증권 제공        지난해 국내 투자자들이 가장 많이 매매한 종목은 삼성전자였다.17일 신한투자증권 빅데이터센터에 따르면 삼성전자는 고객 24만명이 매매했다. 삼성전자에 이어 시큐센, 미래반도체가 가장 많이 매매한 종목에 올랐다.2023년 실현수익률 최고는 10년 이상 이차전지주를 장기보유했던 고객으로 7203%다.지난 한 해 동안 오로지 한 종목만 매매한 순정파 고객은 4만7000명이었다. 이 중 최대 거래 종목과 그 횟수는 상신전자로 6787회다. 연초 대비 연말 주가가 가장 많이 상승한 종목은 포스코DX(1087%)였다.2023년 한 해 동안 거래한 종목 수가 가장 많은 고객의 거래 종목 수는 전체 종목 2656개 중 2428개 종목을 매매한 고객이었다. 또한 가장 많은 상품 종류를 거래한 고객의 거래 상품 숫자는 국내주식, 해외주식, 국내채권, 해외채권, 펀드, 주가연계증권(ELS), 파생결합증권(DLS) 등 10개 상품군이었다.신한투자증권은 “향후에도 데이터를 기반으로 고객의 거래 여정을 꾸준히 분석해 고객이 자산을 편리하게 관리하고 증식하는데 기여하겠다”고 밝혔다.",https://n.news.naver.com/mnews/article/366/0000963058?sid=101,조선비즈,경제
"마약류 오남용 통합감시 시스템 구축…""불법 사전차단""",2024.01.16. 오전 10:15,"식약처, 빅데이터 수집체계 구축[서울=뉴시스] 식약처가 마약류 오남용 통합감시 시스템을 구축한다. (사진=식약처 제공) 2024.01.16. photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]황재희 기자 = 식품의약품안전처가 마약류 오남용 통합감시 시스템을 구축한다.식약처는 의료용 마약류 오남용과 불법 사용·유통을 사전에 예측하고 차단하기 위한 ‘마약류 오남용 통합감시 시스템’(K-NASS)을 올해부터 본격적으로 구축한다고 16일 밝혔다.마약류 오남용 통합감시 시스템은 의사·약사 등 마약류 취급자가 ‘마약류통합관리시스템(NIMS)’에 보고하는 마약류 취급정보와 각종 공공 정보(의료인 행정처분, 투약 사범 정보 등)를 연계해 의료용 마약류의 오남용을 보다 정확하게 탐지하기 위한 시스템이다.식약처는 마약류 오남용 통합감시 시스템을 구축하기 위해 올해 31억1000만원의 예산을 확보했으며 ▲의료용 마약류 취급 빅데이터 수집 체계 구축 ▲데이터 정확성 확보를 위한 데이터 품질 관리체계 마련 ▲빅데이터 분석 결과를 시각화해 제공하는 시스템 구축 등을 추진할 예정이다.식약처 관계자는 “마약류 오남용 통합감시 시스템 구축이 완료되면 의료용 마약류 오남용 분석이 자동으로 이뤄져 보다 신속하고 정밀한 마약류 오남용 의심 사례 데이터 추출이 가능하고, 인구 통계와 지리정보를 바탕으로 오남용 예측 지도를 제공해 선제적 조치 등 오남용 예방에도 활용하게 된다”고 말했다.식약처는 추출된 오남용 의심 사례 데이터를 토대로 관련 병·의원, 환자 등에 대한 행정조사에 사용하거나, 의료현장에 적정 처방 유도 목적으로 제공하는 등 의료용 마약류 오남용 예방관리 등에 적극 활용할 계획이다．",https://n.news.naver.com/mnews/article/003/0012320769?sid=102,뉴시스,사회
"K-뷰티 견인하는 화장품 천연소재, 특허 빅데이터 분석해 찾는다",2024.01.17. 오전 11:29,"KISTI, '특허 빅데이터를 활용한 천연화장품 신소재 발굴 연구' 보고서 발간천연 원료로 만든 화장품을 표현한 이미지. 게티이미지뱅크   빅데이터를 통해 화장품에 사용되는 천연소재를 효율적으로 찾을 수 있는 것으로 나타났다. 특허 기반 분석을 통해 품목별로 개발 가능성이 높은 고부가가치의 천연소재를 발굴해냈다.  한국과학기술정보연구원(KISTI)은 이같은 내용을 담은 ‘특허 빅데이터를 활용한 천연화장품 신소재 발굴 연구’ 보고서를 17일 발간했다.    KISTI는 화장품 관련 글로벌 특허 23만여 건과 한국특허 2만4000여 건을 수집해 정량적 특허분석과 키워드를 이용한 텍스트 분석을 수행했다. 각종 분석지표 및 클러스터 연구지형도, 네트워크 맵을 분석해 천연화장품의 글로벌 연구개발 동향과 국내 연구경쟁력을 파악하고 잠재성 높은 주요 천연소재를 발굴해 목록을 제시했다.   이와 함께 천연화장품의 고성장과 융복합 기술의 진화, 친환경과 지속가능성을 추구하는 글로벌 트렌드와 천연소재 개발산업의 성장가능성, 유해환경으로부터 피부장벽 개선을 위한 항염증 기능에 대한 수요 증가, 발효기술의 괄목할 만한 진전과 성과, 기능성 펩타이드나 엑소좀, 줄기세포를 이용한 바이오화장품의 급성장과 안티폴루션(anti-pollution) 화장품의 성장세 등 천연화장품의 글로벌 동향을 데이터 기반의 다각적 측면에서 확인했다.   특히 천연화장품의 9대 분야인 미백, 주름개선/항노화, 모발/체모관련, 항염증/피부개선, 메이크업제, 매니큐어, 향료, 발한방지/탈취, 세정/목욕용제에 따라 중국과 한국을 비롯해 프랑스, 영국, 미국, 일본 등 주요국의 상대적인 개발 주력분야와 기술경쟁력을 확인했다.   키워드 분석을 통해 천연화장품의 글로벌 트렌드가 미백의 역할 비중에서 주름개선/항노화 분야로 확대되고 있으며 항염증/피부개선과 세정/목욕용제 비중이 높아지는 추세를 확인했다.   분석 결과 ‘미세먼지/환경오염’, ‘피부트러블/진정’, ‘각질/필링’ 용어의 높은 증가율 역시 급증한 미세먼지, 대기오염의 문제로 발생한 피부트러블에 대한 항염증, 항균 등의 특수기능성 부여와 전반적인 피부개선에 대한 수요자의 니즈가 반영된 결과로 분석됐다. ‘피부재생’, ‘피부장벽’, ‘발모촉진’, ‘여드름’, ‘발효’, ‘펩타이드’, ‘줄기세포’ 등의 용어출현 증가는 발효화장품, 줄기세포화장품, 펩타이드화장품 등 바이오기술이 접목된 융복합 기술개발 혁신의 움직임이 활발해졌음을 확인했다.  KISTI 제공   연구진은 또 특허 키워드 분석결과의 워드클라우드를 통해 천연화장품 및 세부 품목별로 요구되는 분야특성이 잘 반영된 주요 기술용어를 확인했다. 미백, 주름개선/항노화, 모발/체모 관련, 항염증/피부개선, 세정/목욕용제 5대 주요 효능별로 천연소재와 성분 중심의 용어만을 재추출해 워드클라우드 및 유사도 기반의 네트워크 맵 분석을 실시하는 방법으로 개발 잠재력이 높은 주요 천연소재를 발굴하고 목록을 제시했다.   손은수 KISTI 글로벌R&D분석센터 책임연구원은 “이번 연구는 기술산업지식의 보고라 할 수 있는 특허데이터의 심층분석을 통해 개발 잠재성이 높은 화장품 천연소재를 발굴하려는 의미있는 연구 시도였다”고 설명했다.     연구 보고서는 한국과학기술정보연구원 홈페이지에서 확인할 수 있다. '특허 빅데이터를 활용한 천연화장품 신소재 발굴 연구' 보고서 표지. KISTI 제공",https://n.news.naver.com/mnews/article/584/0000025654?sid=105,동아사이언스,IT/과학
"'체납징수' 팔걷은 정선군…""전담반에 빅데이터 분석도""",2024.01.16. 오전 9:44,"지방세·세외수입 체납 강력 징수고액체납 압류·공매·명단공개 등[정선=뉴시스 정선군청. (사진=뉴시스 DB). photo@newsis.com *재판매 및 DB 금지[정선=뉴시스]김의석 기자 = 강원 정선군은 지방세 체납액 강력 징수에 나선다.16일 정선군에 따르면 지방세 체납자에 대해 군, 읍·면 전담징수제 등 다양한 징수기법을 통한 효율적인 체납액 관리에 힘쓰고 있다.군은 고액·상습체납자에 대한 압류·공매 등 체납처분과 명단공개, 수입물품 체납처분위탁, 번호판 영치 등의 행정제재를 강화했다. 지난해 말 기준 지방세와 세외수입 체납 건수는 2만4512건, 체납액은 49억원이다. 군은 이월 체납액이 매년 증가하고 있어 해결을 위해 읍면행정복지센터 민원팀장, 세무업무담당자 18명을 전담징수반으로 구성했다. 100만원 미만 소액체납액을 관리하고 군은 지방세 고액체납액 현장대응징수반 활용해 납부 독려와 징수에 나선다.또 정기적으로 월 3회 번호판 영치활동과 행정안전부 주관 '전국 번호판 영치의 날', 도에서 운영하는 권역별 합동 영치반을 통해 체납차량 번호판 영치 활동을 상·하반기에 전개할 계획이다.지방세 빅데이터 분석보고서에 의한 '체납분석서비스'를 활용한 징수기법을 도입·운영해 체납자에 대한 보조금 지급 제한, 관허사업제한 등 체납자별 맞춤형 체납처분 , 행정제재도 집중한다.정선군 관계자는 ""지방세, 세외수입 체납 금액별로 체납자 밀착관리를 통한 다각적 징수활동을 펼쳐 지방세 징수를 극대화 할 것""이라며 ""고액·고질 체납자에 대한 체계적 관리를 통해 지방세 체납 문제를 개선해 나갈 것""이라고 말했다.",https://n.news.naver.com/mnews/article/003/0012320638?sid=102,뉴시스,사회
[가상자산 2024] 주기영 크립토퀀트 대표 “블록체인 데이터 분석으로 투명한 투자 정보 발굴”,2024.01.17. 오전 11:02,"“대형 투자자, 코인 매집 자제하는 분위기”주기영 크립토퀀트 대표가 17일 오전 서울 중구 웨스틴 조선호텔 그랜드볼룸에서 열린 ‘2024 가상자산 콘퍼런스’에서 기조연설을 하고 있다. /조선비즈        “블록체인이란 금융 거래 장부를 모두에게 공개하는 기술입니다. 전 세계 80억명 인구의 은행계좌 거래 내역을 다 볼 수 있는 셈이죠.”주기영 크립토퀀트 대표는 17일 오전 서울 중구 웨스틴 조선호텔 그랜드볼룸에서 열린 ‘2024 가상자산 콘퍼런스’ 기조연설에서 “블록체인을 통해 15초마다 전 세계 금융 시장의 수요와 공급을 파악할 수 있다”며 이같이 말했다.주 대표는 블록체인 데이터 분석 플랫폼 크립토퀀트를 창업해 경영하고 있다. 주 대표는 지난 2022년 FTX 파산 사태를 사전에 예측하면서 전 세계적인 블록체인 인플루언서로 거듭났다.이날 주 대표는 ‘블록체인이 가져올 금융 데이터의 미래’를 주제로 기조연설에 나섰다. 주 대표는 연단에 올라 투자자와 금융 당국의 관점에서 블록체인의 효용성에 대해 소개했다. 그는 “고래(대형 투자자)들의 손바뀜과 장외거래(OTC) 흐름을 파악해 투자 시장의 현황을 읽을 수 있다”며 “증권과 달리 핵심 내부자의 거래도 가상자산 거래 물량과 투자시점 등의 정보로 유추해 파악할 수 있다”고 말했다.이어 현재 시장에 대해 “지금은 고래들이 가상자산을 많이 매집하는 상황은 아니며 리스크를 덜고 있지만 당장 현금화를 노리는 상황도 아니다”고 분석했다.주 대표는 블록체인 데이터를 활용한 기업 공시 분석도 가능하다고 소개했다. 글로벌 대표 블록체인 메인넷인 비트코인은 15분마다, 이더리움은 15초마다 거래가 기록된다. 이를 통해 크립토퀀트는 주요 기업들의 가상자산 보유량과 자산 규모를 실시간으로 집계한다. 주 대표는 “미국의 시총 1위 비트코인 채굴기업 마라톤의 자산 보유량을 99% 정확도로 추적하고 있다”고 밝혔다.마지막으로 주 대표는 금융 당국 역시 블록체인 데이터를 유용하게 사용할 수 있다고 제언했다. 그는 “현재 국내 금융 당국 입장에서 가상자산 거래소의 가상자산 입·유출을 파악하려는 수요가 있을 것”이라며 “부적절한 가상자산 거래 모니터링과 시장 참여자들의 계약 준수 여부 등을 파악할 수 있다”고 덧붙였다.",https://n.news.naver.com/mnews/article/366/0000963067?sid=101,조선비즈,경제
"기업은행, 데이터본부 신설하고 신탁 등 비이자부문 강화",2024.01.15. 오후 4:52,"상반기 조직개편·정기인사…박일규·오은선 부행장 선임 (서울=연합뉴스) 신호경 기자 = IBK기업은행은 15일 미래 성장동력 확충과 정책금융 역할 강화를 목표로 조직 개편과 정기인사를 단행했다고 밝혔다.    우선 미래 경쟁력 확보 차원에서 데이터본부가 신설됐다. 데이터본부는 앞으로 인공지능(AI) 등 신기술을 도입해 데이터 분석·활용 역량을 키우는 데 주력할 예정이다. 박일규 신임 기업은행 부행장[기업은행 제공.재판매 및 DB 금지]    아울러 기업은행은 신탁과 글로벌 투자은행(IB) 등 비(非)이자 부문 강화를 뒷받침할 조직도 새로 만들었고, 비대면 금융사고 위험에서 고객을 보호할 조직도 보강했다.     신임 부행장으로는 박일규·오은선 본부장이 선임됐다. 이들은 각 디지털그룹장, 금융소비자보호그룹장을 맡는다.     김성태 기업은행장은 취임 직후 태스크포스(TF)를 구성하고 직원 의견을 수렴해 인사 혁신을 추진해왔다.     예를 들어 '격지 스코어'를 도입해 산업단지·도시외곽 지점 근무자를 공정하게 선정하고, 여러 휴가 제도 신설과 난임휴가 확대, 5세 이하 육아 단축근무제 등을 통해 일과 가정의 양립을 추구하고 있다.오은선 신임 기업은행 부행장[기업은행 제공.재판매 및 DB 금지]    shk999@yna.co.kr",https://n.news.naver.com/mnews/article/001/0014445476?sid=101,연합뉴스,경제
"NIA, 빅데이터 분석 지원 수요 기업 모집",2024.01.16. 오후 2:26,"[2024년 빅데이터 플랫폼 기반 분석서비스 지원 사업 수요기업 모집공고]           한국지능정보사회진흥원(원장 황종성, 이하 NIA)과 과학기술정보통신부(장관 이종호, 이하 과기정통부)가 ‘2024년 빅데이터 플랫폼 기반 분석 서비스 지원 사업’의 수요 기업을 오는 2월 13일까지 모집한다.     빅데이터 플랫폼 기반 분석 서비스 지원 사업은 산업 전반의 데이터 부족 해소 및 데이터 활용 촉진을 위해 공공·민간이 협력해 양질의 데이터를 생산·분석·활용·거래할 수 있도록 구축·운영한 빅데이터 플랫폼 사업의 일환이다.      데이터 분석 지원 사업은 데이터 활용에 어려움을 겪고 있는 기업을 위해 데이터 기반의 문제 해결로 기업 경쟁력 강화와 새로운 비즈니스 가치 창출을 지원하는 사업으로 2022년부터 추진하여 69개 중견·중소기업, 예비창업자를 지원하였다.      올해 사업은 지난해와 달리 지원대상을 중소기업 및 벤처기업으로 집중하고 5개 분야, 총 50개 내외의 지원 대상 기업을 조기에 선정하여 내실 있는 데이터 활용 성과 창출을 유도할 계획이다.      선정된 기업에 대해서는 지원 과제의 구체화를 위한 1차 기획 컨설팅과 데이터 기반 문제 해결을 위한 2차 분석‧활용 컨설팅이 제공된다.      지원을 희망하는 기업은 NIA 홈페이지를 통해 공개되는 수요 기업 모집공고를 참고하여 이메일로 신청서를 제출하고 추후 선정 결과는 개별 안내된다.       [2023년 빅데이터 플랫폼 기반 분석서비스 지원 사업 성과사례집]           한편, NIA와 과학기술정보통신부는 2023년 빅데이터 플랫폼 기반 분석 서비스 지원 사업에 참여한 49개 기업 사례 중 15개 우수사례를 선별하여‘2023 빅데이터 플랫폼 기반 분석 서비스 지원 사업 성과 사례집’을 발간했다.      고객층 분석을 통한 마케팅 전략 수립, AI 해양쓰레기 탐지 기술 개발, 공간정보 기반 화밀량 등급 정보 개발, 장미 생육환경 분석 및 생육 촉진제 효과 분석 등 다양한 기업의 데이터 분석·활용 사례와 실제 분석에 활용한 데이터를 소개하고 있다.      NIA 황종성 원장은 “수요자 맞춤형 컨설팅 및 분석 지원을 통해 잠재력 있는 중소기업의 성장을 돕고, 기업의 지속적인 데이터 활용 촉진과 데이터 문화 조성, 데이터생태계의 활성화를 위해 적극적으로 지원하겠다”고 밝혔다.",https://n.news.naver.com/mnews/article/025/0003335372?sid=105,중앙일보,IT/과학
"IBK기업은행, 데이터본부 신설…박일규·오은선 부행장 선임",2024.01.15. 오후 5:41,"""데이터 경영체계 마련""…미래경쟁력 확대디지털그룹장에 박일규·소비자보호그룹장에 오은선(왼쪽부터) IBK기업은행 박일규·오은선 신임 부행장./사진제공=IBK기업은행(서울=뉴스1) 김근욱 기자 = IBK기업은행이 15일 조직개편을 통해 인공지능(AI) 등 신기술 도입을 위한 데이터본부를 신설했다. 신임 부행장 2명을 선임하는 인사도 함께 발표했다.기업은행은 ""미래 성장동력 확충과 정책금융 본연의 역할 강화를 위해 조직개편과 정기인사를 단행했다""고 밝혔다.이날 신설된 데이터본부는 AI 관련 신기술 도입 등 데이터 분석·활용·관리 역할을 수행한다.기업은행은 또 비대면 금융사고 등 고객 보호 조직을 보강하고, 신탁 및 글로벌 투자은행(IB) 등 비이자 부분 강화를 위한 조직도 신설했다고 밝혔다. 아울러 중소기업 금융지원 확대를 위해 경기, 인천, 충청, 경남 지역에 전략영업센터도 설치하기로 했다.기업은행은 이날 조직개편에 맞춰 박일규 본부장을 디지털그룹장, 오은선 본부장을 금융소비자보호그룹장으로 선임했다. 박 부행장은 인사혁신 과제를 발굴해 격지스코어 도입과 인사정보 공개 확대 등 새로운 변화를 시도한 공적을 인정받았다.오 부행장은 풍부한 영업현장 경험과 금융소비자보호 관련 업무 경험을 보유한 여성 리더라는 평가를 받는다. 영업점에서 뛰어난 성과를 입증한 영업점장 7명도 본부장으로 승진했다. 수도권에서는 권오삼 선릉역지점장을 가치경영실장, 고성환 가락동지점장을 데이터본부장, 이범건 서교동지점장을 영업부장, 박춘식 김포대곶지점장을 인천지역본부장, 정은지 시화공단지점장을 강북지역본부장으로 선임했다. 지방에서는 해당지역에서 가장 우수한 성과를 창출한 이대홍 성서공단지점장을 대구·경북동부지역본부장, 윤옥경 대전지점장을 충청지역본부장으로 선임했다.본부에서는 5명의 부서장이 본부장으로 승진했다. 기업고객과 개인고객 부문의 균형성장을 도모하기 위해 안봉희 기업고객부장과 이동연 개인고객부장을 본부장급으로 격상했다. 김종철 혁신금융부장을 강남지역본부장, 조광진 투자금융부장을 서부지역본부장, 이승섭 직원행복부장을 강서·제주지역본부장으로 선임했다.",https://n.news.naver.com/mnews/article/421/0007291942?sid=101,뉴스1,경제
"""데이터 사용량 분석해 최적 구간 추천""…토스모바일, '맞춤 요금제' 출시",2024.01.15. 오전 8:52,"월 사용량 분석…적게 쓰면 다음달 요금제는 하향 추천1GB부터 100GB로 구성…많이 써도 월 3만4800원[서울=뉴시스] 토스모바일이 '사용량 맞춤 요금제'를 정식 출시했다. (사진=토스모바일 제공) *재판매 및 DB 금지[서울=뉴시스] 심지혜 기자 = 알뜰폰 토스모바일이 실제 데이터 사용량을 분석해 최적의 구간을 추천해주는 맞춤형 요금제를 처음으로 내놨다. 토스모바일은 '사용량 맞춤 요금제'를 정식 출시했다고 15일 밝혔다. 가장 큰 특징은 가입자가 실제 사용하는 데이터 이용 패턴을 분석해 다음 달에는 해당 고객에게 가장 최적화된 데이터 구간을 추천하는 것이다. 만약 고객이 가입한 데이터 구간보다 실제 데이터 사용을 적게 한다면 다음 달엔 실제 쓰는 구간으로 요금제을 하향할 것을 토스 앱이 먼저 추천한다. 반대로 실제 데이터 사용량이 더 많다면 요금제를 상향할 것을 추천한다. 물론 고객의 판단에 따라 추천 받지 않은 요금제를 선택해 이용하는 것도 가능하다.기존 토스모바일의 다른 요금제와 마찬가지로 별도 약정 없이 이용할 수 있다. 무약정 상품이기 때문에 요금제 변경과 해지가 자유롭다. 토스모바일은 정확한 사용량 분석을 위해 가입 첫 달은 71GB 초과 100GB 이하 구간을 무료로 제공한다. [서울=뉴시스] 토스모바일이 '사용량 맞춤 요금제'를 정식 출시했다. (사진=토스모바일 제공) *재판매 및 DB 금지가입자가 실제 사용하는 데이터 구간에 따라 납부하는 요금 수준이 달라진다. LTE 전용 요금제이며 데이터 구간은 최소 1GB 부터 최대 100GB로 구성됐다.가격은 최소 9800원부터 최대 3만 4800원까지다. 구체적인 가격은 할인가(1년) 기준 ▲월 9800원(1GB 이하) ▲월 1만 6800원(1GB 초과 5GB 이하) ▲월 1만 9800원(5GB 초과 7GB 이하) ▲월 2만 2800원(7GB 초과 10GB 이하) ▲월 2만 4800원(10GB 초과 15GB 이하) ▲월 2만 6800원(15GB 초과 25GB 이하) ▲월 3만 2800원(25GB 초과 71GB 이하) ▲월 3만 4800원(71GB 초과)이다. 음성통화와 문자는 모든 데이터 구간에서 무제한으로 쓸 수 있다.데이터는 기본 제공 데이터를 모두 소진하더라도 속도제어(QoS) 형태로 계속 사용할 수 있다. 단 제한되는 속도는 데이터 구간별로 각기 다르다. 71GB 초과 구간은 최대 5Mbps, 25GB 초과 71GB 이하 구간은 최대 3Mbps, 그 외 구간은 최대 1Mbps 속도다.토스모바일 관계자는 ""실제 자사 '100GB + 5Mbps' 요금제 가입자 중 상위 10%의 고객은 기본 제공 데이터를 모두 소진하고 있는 반면, 90%의 고객은 데이터를 다 쓰지 못하고 있다는 것을 확인하고 이번 요금제 출시를 기획했다""고 설명했다.",https://n.news.naver.com/mnews/article/003/0012318237?sid=105,뉴시스,IT/과학
AI 데이터센터 관리솔루션 CES 선보인 SK브로드밴드,2024.01.15. 오전 8:30,"CES 2024에서 데이터센터 인프라 관리 노하우 소개AI로 데이터 분석, 장애 사전 감지 및 냉방 전력 최적화SK ICT Family와의 시너지 바탕으로AI 데이터센터 레퍼런스 확대할 계획[이데일리 김현아 기자] SK브로드밴드(대표이사 사장 박진효)가 ‘CES 2024’에 참가해 전문적인 운영 경험을 바탕으로 AI 데이터센터 인프라 관리에 관한 노하우를 집약한 AI DCIM(Data Center Infrastructure Management) 솔루션을 선보였다고 15일 밝혔다.브로드밴드 관계자가 12일(현지시간) CES 2024 전시관에서 AI로 데이터센터의 인프라를 관리하는 방안에 대해 관람객에게 설명하고 있다. SK브로드밴드의 AI DCIM은 ▲데이터센터 운영의 디지털 전환 경험(Experience to Digital) ▲서비스의 지속적 확장을 위한 표준화 플랫폼 구축(Continuous Innovation) ▲데이터센터 운영에 AI 적용(AI Now) 등을 통해 상면(Rack), 전력설비, 공조냉방설비 등의 데이터센터 인프라를 통합 관리하는 솔루션이다.회사는 “데이터센터 인프라 운영 과정에 수집한 데이터를 AI로 분석해 이상 징후 등 장애 사전 감지, 냉방 전력 에너지 최적화의 효과를 거둘 수 있다”고 설명했다.특히 AI를 활용해 서버실 냉방 부하를 예측하거나 냉방설비의 운전 최적화로 전력료를 절감할 수 있고 UPS(무정전 전원장치), 배터리, 냉방기 등 데이터센터 주요 핵심 설비에 대한 이상 데이터를 미리 파악해 서비스 운영 안정성을 향상시킬 수 있다.또한 표준화된 DCIM 플랫폼을 구축해 데이터센터 설비에 대한 감지 및 전파 대응 프로세스를 마련하고, 고객사에게 사용량 정보 등을 제공하는 운영 리포트 자동화를 구현했다. 이를 통해 단순 반복적인 작업을 데이터 기반 시스템으로 전환시켜 운용자들의 업무 효율성과 생산성을 증가시켰다.단순 과제에서 AI분석으로 진화SK브로드밴드는 데이터센터 인프라 관리가 기존 단순 관제 방식에서 AI분석으로 진화한 것으로 학습과 추론을 장착한 AI가 데이터센터 운영에 접목된 것이라고 강조했다최성균 AIDC CO 담당은 “CES에서의 AI DCIM 운영 노하우 소개를 발판으로 SK브로드밴드는 데이터센터 리딩 컴퍼니로서 AI를 적극 도입해 차별화된 AI 데이터센터 레퍼런스를 확대하겠다”고 말했다.한편 AI 데이터센터는 SK그룹 ICT위원회 멤버사들의 시너지를 기반으로 구축 중이다.이번 CES 기간에 SK텔레콤의 DC 기술과(서버 액침 냉각, AI 기반 전력 관리 및 사이버보안 기술, 양자암호기술), SK엔무브의 액침냉각유, SK하이닉스의 eSSD (엔터프라이즈 SSD), 사피온의 AI반도체 등이 원팀 솔루션으로 함께 소개됐다.",https://n.news.naver.com/mnews/article/018/0005654746?sid=105,이데일리,IT/과학
